annee;diplome;numero_de_l_etablissement;etablissement;etablissementactuel;code_de_l_academie;academie;code_du_domaine;domaine;code_de_la_discipline;discipline;situation;remarque;nombre_de_reponses;taux_de_reponse;poids_de_la_discipline;taux_dinsertion;emplois_cadre_ou_professions_intermediaires;emplois_stables;emplois_a_temps_plein;salaire_net_median_des_emplois_a_temps_plein;salaire_brut_annuel_estime;de_diplomes_boursiers;taux_de_chomage_regional;salaire_net_mensuel_median_regional;emplois_cadre;emplois_exterieurs_a_la_region_de_luniversite;femmes;salaire_net_mensuel_regional_1er_quartile;salaire_net_mensuel_regional_3eme_quartile;cle_etab;cle_disc;id_paysage
2015;MASTER LMD;0542493S;Lorraine;;A12;Nancy-Metz;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;18 mois après le diplôme;;165;79;14;92;95;80;99;2000;31200;35;8.6;1800;76;62;24;1430;2120;Lorraine_18;disc15_18;t6Cq5
2015;MASTER LMD;0561718N;Bretagne-Sud;;A14;Rennes;DEG;Droit, Économie et gestion;disc03;Économie;30 mois après le diplôme;;4;71;1;ns;ns;ns;ns;ns;ns;36;7.4;1750;ns;ns;ns;1420;2080;Bretagne-Sud_30;disc03_30;5tVy4
2015;MASTER LMD;0561718N;Bretagne-Sud;;A14;Rennes;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;;9;79;3;ns;ns;ns;ns;ns;ns;36;7.4;1750;ns;ns;ns;1420;2080;Bretagne-Sud_18;disc10_18;5tVy4
2015;MASTER LMD;0561718N;Bretagne-Sud;;A14;Rennes;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;;113;71;42;92;97;83;96;2130;33200;36;7.4;1750;70;64;26;1420;2080;Bretagne-Sud_30;disc12_30;5tVy4
2015;MASTER LMD;0561718N;Bretagne-Sud;;A14;Rennes;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;18 mois après le diplôme;;13;62;4;ns;ns;ns;ns;ns;ns;36;7.4;1750;ns;ns;ns;1420;2080;Bretagne-Sud_18;disc17_18;5tVy4
2015;MASTER LMD;0593279U;Université Polytechnique Hauts-de-France;Université Polytechnique Hauts-de-France (UPHF);A09;Lille;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;;33;90;8;97;94;49;97;ns;ns;28;11.1;1825;42;77;30;1475;2140;Université Polytechnique Hauts-de-France_18;disc10_18;SuUZ2
2015;MASTER LMD;0593279U;Université Polytechnique Hauts-de-France;Université Polytechnique Hauts-de-France (UPHF);A09;Lille;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;;1;100;0;ns;nd;nd;nd;nd;nd;28;11.1;1825;nd;nd;ns;1475;2140;Université Polytechnique Hauts-de-France_30;disc11_30;SuUZ2
2015;MASTER LMD;0593279U;Université Polytechnique Hauts-de-France;Université Polytechnique Hauts-de-France (UPHF);A09;Lille;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;18 mois après le diplôme;;1;100;0;ns;ns;ns;ns;nd;nd;28;11.1;1825;ns;nd;ns;1475;2140;Université Polytechnique Hauts-de-France_18;disc11_18;SuUZ2
2015;MASTER LMD;0595964M;Littoral - Côte d'Opale;;A09;Lille;DEG;Droit, Économie et gestion;disc02;Droit;18 mois après le diplôme;;10;58;3;ns;ns;ns;ns;ns;ns;23;11.1;1825;ns;ns;ns;1475;2140;Littoral - Côte d'Opale_18;disc02_18;yH19Y
2015;MASTER LMD;0595964M;Littoral - Côte d'Opale;;A09;Lille;DEG;Droit, Économie et gestion;disc04;Gestion;18 mois après le diplôme;;187;56;63;90;79;71;99;1800;28100;23;11.1;1825;41;50;57;1475;2140;Littoral - Côte d'Opale_18;disc04_18;yH19Y
2015;MASTER LMD;0595964M;Littoral - Côte d'Opale;;A09;Lille;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;;17;57;6;ns;ns;ns;ns;ns;ns;23;11.1;1825;ns;ns;ns;1475;2140;Littoral - Côte d'Opale_30;disc07_30;yH19Y
2015;MASTER LMD;0595964M;Littoral - Côte d'Opale;;A09;Lille;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;30 mois après le diplôme;;0;;;nd;nd;nd;nd;nd;nd;23;11.1;1825;nd;nd;nd;1475;2140;Littoral - Côte d'Opale_30;disc08_30;yH19Y
2015;MASTER LMD;0595964M;Littoral - Côte d'Opale;;A09;Lille;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;;100;78;24;92;86;77;96;1770;27600;23;11.1;1825;47;21;33;1475;2140;Littoral - Côte d'Opale_30;disc12_30;yH19Y
2015;MASTER LMD;0595964M;Littoral - Côte d'Opale;;A09;Lille;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;18 mois après le diplôme;;14;100;3;ns;ns;ns;ns;ns;ns;23;11.1;1825;ns;ns;ns;1475;2140;Littoral - Côte d'Opale_18;disc14_18;yH19Y
2015;MASTER LMD;0595964M;Littoral - Côte d'Opale;;A09;Lille;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;18 mois après le diplôme;;1;100;0;ns;ns;ns;ns;ns;ns;23;11.1;1825;ns;ns;ns;1475;2140;Littoral - Côte d'Opale_18;disc15_18;yH19Y
2015;MASTER LMD;0597065J;Lille;;A09;Lille;DEG;Droit, Économie et gestion;disc01;Ensemble formations juridiques, Économiques et de gestion;30 mois après le diplôme;;784;78;47;94;93;87;98;2060;32200;28;11.1;1825;61;40;58;1475;2140;Lille_30;disc01_30;Szqy5
2015;MASTER LMD;0597065J;Lille;;A09;Lille;DEG;Droit, Économie et gestion;disc01;Ensemble formations juridiques, Économiques et de gestion;18 mois après le diplôme;;784;78;47;92;89;72;97;1900;29600;28;11.1;1825;51;40;58;1475;2140;Lille_18;disc01_18;Szqy5
2015;MASTER LMD;0597065J;Lille;;A09;Lille;DEG;Droit, Économie et gestion;disc03;Économie;30 mois après le diplôme;;141;85;8;91;96;84;99;2050;32000;28;11.1;1825;62;45;42;1475;2140;Lille_30;disc03_30;Szqy5
2015;MASTER LMD;0597065J;Lille;;A09;Lille;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;;96;89;5;79;82;56;90;1520;23700;28;11.1;1825;25;47;83;1475;2140;Lille_18;disc10_18;Szqy5
2015;MASTER LMD;0597065J;Lille;;A09;Lille;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;;154;90;8;91;86;51;88;1720;26800;28;11.1;1825;43;45;69;1475;2140;Lille_30;disc11_30;Szqy5
2015;MASTER LMD;0597065J;Lille;;A09;Lille;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;;427;81;24;90;93;70;96;1900;29600;28;11.1;1825;68;42;43;1475;2140;Lille_18;disc12_18;Szqy5
2015;MASTER LMD;0597065J;Lille;;A09;Lille;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;18 mois après le diplôme;;49;79;3;73;80;49;87;1650;25700;28;11.1;1825;51;51;60;1475;2140;Lille_18;disc13_18;Szqy5
2015;MASTER LMD;0597065J;Lille;;A09;Lille;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;30 mois après le diplôme;;52;82;3;90;100;85;98;2100;32800;28;11.1;1825;66;51;36;1475;2140;Lille_30;disc14_30;Szqy5
2015;MASTER LMD;0597065J;Lille;;A09;Lille;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;18 mois après le diplôme;;73;84;4;93;98;63;100;1970;30800;28;11.1;1825;79;47;24;1475;2140;Lille_18;disc15_18;Szqy5
2015;MASTER LMD;0623957P;Artois;;A09;Lille;DEG;Droit, Économie et gestion;disc01;Ensemble formations juridiques, Économiques et de gestion;18 mois après le diplôme;;84;86;30;94;71;79;96;1700;26500;32;11.1;1825;35;12;53;1475;2140;Artois_18;disc01_18;BWbvP
2015;MASTER LMD;0623957P;Artois;;A09;Lille;DEG;Droit, Économie et gestion;disc05;Autres formations juridiques, Économiques et de gestion;30 mois après le diplôme;;46;84;16;96;84;98;98;2000;31200;32;11.1;1825;49;17;53;1475;2140;Artois_30;disc05_30;BWbvP
2015;MASTER LMD;0623957P;Artois;;A09;Lille;STS;Sciences, technologies et santé;disc16;Informatique;18 mois après le diplôme;;9;90;3;ns;ns;ns;ns;ns;ns;32;11.1;1825;ns;ns;ns;1475;2140;Artois_18;disc16_18;BWbvP
2015;MASTER LMD;0623957P;Artois;;A09;Lille;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;;3;80;1;ns;ns;ns;ns;nd;nd;32;11.1;1825;ns;ns;ns;1475;2140;Artois_30;disc17_30;BWbvP
2015;MASTER LMD;0623957P;Artois;;A09;Lille;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;18 mois après le diplôme;;3;80;1;ns;ns;ns;ns;nd;nd;32;11.1;1825;ns;ns;ns;1475;2140;Artois_18;disc17_18;BWbvP
